中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:8d,US,Los Angeles,隧道,53 ms,67 Mbps,8687 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,293 Mbps,37580 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,59 ms,46 Mbps,5957 kB/s
192.9.138.241,443,192.9.138.241,US,417 Mbps,53452 kB/s
150.136.241.40,443,150.136.241.40,US,574 Mbps,73523 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,18 ms,613 Mbps,78540 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,73 ms,384 Mbps,49152 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,106 ms,200 Mbps,25600 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,125 ms,401 Mbps,51404 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,55 ms,420 Mbps,53862 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,92 ms,33 Mbps,4338 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,375 Mbps,48025 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,26 ms,616 Mbps,78950 kB/s
35.197.23.75,443,34.145.46.165,US,Seattle,隧道,57 ms,437 Mbps,56012 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,43 ms,445 Mbps,57036 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,342 Mbps,43827 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,208 Mbps,26624 kB/s
35.230.79.26,443,34.145.46.165,US,Seattle,隧道,48 ms,476 Mbps,60928 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,349 Mbps,44748 kB/s
34.82.76.253,443,34.168.30.215,US,Seattle,隧道,48 ms,475 Mbps,60825 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,25 ms,648 Mbps,82944 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,60 ms,424 Mbps,54374 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,141 ms,147 Mbps,18841 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,280 Mbps,35942 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,113 Mbps,14540 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,43 Mbps,5628 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,68 ms,45 Mbps,5859 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,152 Mbps,19558 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,162 ms,386 Mbps,49459 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,167 Mbps,21401 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,188 Mbps,24064 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,210 ms,38 Mbps,4982 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,117 ms,186 Mbps,23859 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,105 ms,47 Mbps,6126 kB/s
