中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,1 ms,1264 Mbps,161792 kB/s,161792.0
3.144.191.4,443,3.144.191.4,US,Columbus,中转,33 ms,736 Mbps,94310 kB/s,94310.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,43 ms,709 Mbps,90828 kB/s,90828.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,31 ms,459 Mbps,58777 kB/s,58777.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,85 ms,420 Mbps,53760 kB/s,53760.0
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,68 ms,403 Mbps,51609 kB/s,51609.0
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,82 ms,388 Mbps,49664 kB/s,49664.0
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,74 ms,382 Mbps,48947 kB/s,48947.0
152.67.251.232,443,152.67.251.232,US,San Jose,中转,77 ms,380 Mbps,48640 kB/s,48640.0
194.36.24.34,443,194.36.24.34,US,San Jose,中转,95 ms,347 Mbps,44441 kB/s,44441.0
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,14 ms,321 Mbps,41164 kB/s,41164.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,308 Mbps,39424 kB/s,39424.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,303 Mbps,38809 kB/s,38809.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,132 ms,292 Mbps,37478 kB/s,37478.0
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,290 Mbps,37171 kB/s,37171.0
192.18.134.22,443,192.18.134.22,US,San Jose,中转,90 ms,288 Mbps,36864 kB/s,36864.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,82 ms,270 Mbps,34611 kB/s,34611.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,270 Mbps,34611 kB/s,34611.0
141.144.195.62,443,98.98.156.18,DE,Frankfurt,隧道,90 ms,264 Mbps,33792 kB/s,33792.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,123 ms,263 Mbps,33689 kB/s,33689.0
129.159.198.107,443,2606:f240:f00:a683:0:1328:358c:17a9,US,Frankfurt,隧道,121 ms,260 Mbps,33382 kB/s,33382.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,94 ms,259 Mbps,33177 kB/s,33177.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,251 Mbps,32153 kB/s,32153.0
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,137 ms,235 Mbps,30105 kB/s,30105.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,234 Mbps,30003 kB/s,30003.0
193.123.33.175,443,2a0b:21c0:100a:1b2:0:f128:a286:d696,DE,Frankfurt,隧道,157 ms,230 Mbps,29491 kB/s,29491.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,226 Mbps,28979 kB/s,28979.0
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,89 ms,217 Mbps,27852 kB/s,27852.0
130.162.225.64,443,2606:f240:f00:83a7:0:2d7d:c732:8a97,US,Frankfurt,隧道,96 ms,207 Mbps,26521 kB/s,26521.0
130.162.172.151,443,2606:f240:f00:6acf:0:e9a7:43ae:2646,US,Frankfurt,隧道,142 ms,204 Mbps,26112 kB/s,26112.0
