中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:7680:e18::26a:8d,US,Los Angeles,隧道,19 ms,96 Mbps,12390 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,324 Mbps,41472 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,59 ms,816 Mbps,104448 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,33 ms,1536 Mbps,196608 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,92 ms,1520 Mbps,194560 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,72 ms,711 Mbps,91033 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,48 ms,666 Mbps,85299 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,17 ms,1664 Mbps,212992 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,38 ms,393 Mbps,50380 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,72 ms,737 Mbps,94412 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,56 ms,1400 Mbps,179200 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,576 Mbps,73728 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,74 Mbps,9585 kB/s
192.9.132.79,443,192.9.132.79,US,San Jose,中转,86 ms,1192 Mbps,152576 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,22 ms,636 Mbps,81510 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,53 ms,77 Mbps,9979 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,67 ms,352 Mbps,45056 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,45 ms,87 Mbps,11161 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,97 ms,17 Mbps,2251 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,244 Mbps,31232 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,60 ms,354 Mbps,45363 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,151 ms,34 Mbps,4453 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,157 ms,108 Mbps,13824 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,230 ms,55 Mbps,7088 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,110 ms,7 Mbps,969 kB/s
158.101.214.219,443,2a0b:21c0:100a:1b2:0:5984:77de:6348,DE,Frankfurt,隧道,245 ms,92 Mbps,11776 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,161 ms,92 Mbps,11878 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,153 ms,108 Mbps,13824 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,76 ms,123 Mbps,15769 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,154 ms,39 Mbps,5008 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,3 Mbps,460 kB/s
138.2.145.16,443,2a0b:21c0:1007:1c9:0:d6c0:1e2b:5756,DE,Frankfurt,隧道,154 ms,84 Mbps,10854 kB/s
8.219.201.245,443,8.219.201.245,68 Mbps,8791 kB/s
8.219.201.245,,,隧道,0 ms,null Mbps,null kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,133 ms,108 Mbps,13926 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,180 Mbps,23040 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,61 ms,48 Mbps,6210 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,147 ms,36 Mbps,4657 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,147 ms,128 Mbps,16384 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,178 ms,42 Mbps,5445 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,149 ms,0 Mbps,47 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,171 ms,3 Mbps,410 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,62 Mbps,7966 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,114 Mbps,14643 kB/s
8.209.77.200,443,2606:f240:f00:5a42:0:761f:24a6:aff9,US,Frankfurt,隧道,283 ms,116 Mbps,14848 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,169 ms,76 Mbps,9773 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,170 ms,67 Mbps,8615 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,129 ms,40 Mbps,5213 kB/s
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,153 ms,72 Mbps,9242 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,153 ms,108 Mbps,13926 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,169 ms,71 Mbps,9196 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,170 ms,65 Mbps,8321 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,89 ms,42 Mbps,5418 kB/s
141.147.147.28,443,104.28.206.113,JP,Osaka,隧道,150 ms,94 Mbps,12083 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,168 ms,78 Mbps,10035 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,166 ms,57 Mbps,7367 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,172 ms,77 Mbps,9932 kB/s
144.21.49.204,443,2a0b:21c0:100a:1b3:0:6f86:3184:2c33,DE,Frankfurt,隧道,155 ms,84 Mbps,10854 kB/s
47.254.176.107,443,2a0b:21c0:1007:1ca:0:e9f5:1bc5:5cdf,DE,Frankfurt,隧道,156 ms,97 Mbps,12492 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,49 ms,576 Mbps,73728 kB/s
152.70.117.136,443,152.70.117.136,US,San Jose,中转,11 ms,435 Mbps,55705 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,22 ms,832 Mbps,106496 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,169 ms,71 Mbps,9132 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,172 ms,75 Mbps,9657 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,241 ms,38 Mbps,4973 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,170 ms,53 Mbps,6901 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,72 ms,29 Mbps,3805 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,169 ms,79 Mbps,10137 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,150 ms,40 Mbps,5166 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,157 ms,2 Mbps,303 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,62 ms,18 Mbps,2308 kB/s
34.70.91.86,443,34.70.91.86,US,,中转,121 ms,340 Mbps,43520 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,154 ms,32 Mbps,4097 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,33 ms,241 Mbps,30924 kB/s
150.230.20.164,443,2a0b:21c0:1007:c9:0:203b:f69d:1663,DE,Frankfurt,隧道,153 ms,49 Mbps,6340 kB/s
103.137.63.3,443,61.224.114.98,TW,,隧道,160 ms,100 Mbps,12902 kB/s
18.191.122.211,443,3.13.180.72,US,,隧道,64 ms,21 Mbps,2768 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,225 ms,47 Mbps,6055 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,145 ms,136 Mbps,17510 kB/s
132.145.134.230,443,132.145.134.230,US,,中转,69 ms,105 Mbps,13516 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,224 ms,44 Mbps,5713 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,159 ms,92 Mbps,11878 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,157 ms,115 Mbps,14745 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,234 ms,112 Mbps,14336 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,170 ms,78 Mbps,10035 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,2 ms,51 Mbps,6651 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,150 ms,61 Mbps,7857 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,169 ms,77 Mbps,9886 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,169 ms,69 Mbps,8860 kB/s
158.101.211.98,443,98.98.156.14,AE,Frankfurt,隧道,154 ms,112 Mbps,14336 kB/s
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,169 ms,80 Mbps,10342 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,168 ms,71 Mbps,9188 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,64 ms,47 Mbps,6099 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,170 ms,80 Mbps,10240 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,169 ms,69 Mbps,8921 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,151 ms,78 Mbps,9992 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,169 ms,65 Mbps,8420 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,73 ms,47 Mbps,6068 kB/s
140.238.13.96,443,140.238.13.96,KR,Seoul,中转,130 ms,120 Mbps,15360 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,89 ms,31 Mbps,4033 kB/s
