中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,25 ms,7 Mbps,949 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,39 ms,533 Mbps,68300 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,472 Mbps,60518 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,353 Mbps,45260 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,328 Mbps,42086 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,30 ms,54 Mbps,6942 kB/s
35.230.79.26,443,35.212.197.90,US,Seattle,隧道,48 ms,425 Mbps,54476 kB/s
35.197.23.75,443,35.212.197.90,US,Seattle,隧道,49 ms,485 Mbps,62156 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,51 ms,499 Mbps,63897 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,52 ms,431 Mbps,55193 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,119 ms,183 Mbps,23449 kB/s
130.162.36.198,443,130.162.36.198,DE,Frankfurt,中转,115 ms,148 Mbps,18944 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,208 Mbps,26624 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,170 Mbps,21811 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,114 ms,47 Mbps,6121 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,141 ms,158 Mbps,20275 kB/s
130.162.231.167,443,130.162.231.167,DE,Frankfurt,中转,127 ms,140 Mbps,18022 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,136 ms,35 Mbps,4593 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,147 ms,40 Mbps,5178 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,141 ms,43 Mbps,5617 kB/s
143.47.178.5,443,2606:f240:f00:eaf1:0:4285:5b9c:eea3,DE,Frankfurt,隧道,136 ms,93 Mbps,11980 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,172 ms,39 Mbps,5067 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,180 ms,38 Mbps,4962 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,133 ms,24 Mbps,3159 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,212 ms,66 Mbps,8522 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,203 ms,42 Mbps,5462 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,190 ms,10 Mbps,1395 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,34 Mbps,4392 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,60 ms,236 Mbps,30208 kB/s
