中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,493 Mbps,63180 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,29 ms,116 Mbps,14950 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,149 Mbps,19148 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,72 ms,281 Mbps,36044 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,21 ms,654 Mbps,83763 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,50 ms,423 Mbps,54169 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,318 Mbps,40755 kB/s
192.18.140.39,443,192.18.140.39,US,San Jose,中转,74 ms,43 Mbps,5531 kB/s
138.2.156.119,443,2a0b:21c0:100a:1fa:0:4265:f778:bd48,DE,Frankfurt,隧道,89 ms,136 Mbps,17510 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,86 ms,36 Mbps,4613 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,89 ms,26 Mbps,3367 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,151 ms,332 Mbps,42598 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,257 Mbps,32972 kB/s
192.9.138.241,443,192.9.138.241,US,256 Mbps,32870 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,74 ms,277 Mbps,35532 kB/s
35.197.23.75,443,35.203.190.52,US,Seattle,隧道,71 ms,291 Mbps,37273 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,18 ms,587 Mbps,75161 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,91 ms,127 Mbps,16281 kB/s
35.230.79.26,443,35.203.190.52,US,Seattle,隧道,66 ms,297 Mbps,38092 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,35 Mbps,4573 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,73 ms,35 Mbps,4558 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,244 Mbps,31334 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,236 Mbps,30208 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,145 ms,358 Mbps,45875 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,113 ms,260 Mbps,33382 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,348 Mbps,44646 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,17 Mbps,2253 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,117 ms,234 Mbps,30003 kB/s
130.162.232.14,443,2606:f240:f00:eaf1:0:c8f1:2bdf:6947,US,Frankfurt,隧道,89 ms,131 Mbps,16793 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,74 ms,14 Mbps,1912 kB/s
152.70.88.98,443,2a09:bac5:4756:1482::20b:59,KR,Seoul,隧道,195 ms,32 Mbps,4196 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,90 ms,104 Mbps,13414 kB/s
