中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
43.153.80.208,443.0,43.153.80.208,US,San Jose,中转,18 ms,1336 Mbps,171008 kB/s,171008.0
192.9.138.241,443.0,192.9.138.241,US,San Jose,中转,36 ms,1288 Mbps,164864 kB/s,164864.0
43.153.103.203,443.0,43.153.103.203,US,San Jose,中转,37 ms,1152 Mbps,147456 kB/s,147456.0
184.169.181.217,443.0,184.169.181.217,US,San Jose,中转,36 ms,1008 Mbps,129024 kB/s,129024.0
129.146.251.53,443.0,2603:c020:d:2b01:cdfa:999a:db14:e7e8,US,Los Angeles,隧道,102 ms,912 Mbps,116736 kB/s,116736.0
35.197.23.75,443.0,35.233.216.70,US,Seattle,隧道,50 ms,880 Mbps,112640 kB/s,112640.0
35.230.79.26,443.0,35.233.216.70,US,Seattle,隧道,74 ms,824 Mbps,105472 kB/s,105472.0
23.94.43.51,443.0,23.94.43.51,US,Seattle,中转,29 ms,677 Mbps,86732 kB/s,86732.0
198.23.254.51,443.0,198.23.254.51,US,San Jose,中转,4 ms,590 Mbps,75571 kB/s,75571.0
198.23.236.101,443.0,198.23.236.101,US,San Jose,中转,50 ms,548 Mbps,70144 kB/s,70144.0
150.230.42.80,443.0,104.28.201.73,US,San Jose,隧道,26 ms,437 Mbps,56012 kB/s,56012.0
140.84.179.114,443.0,140.84.179.114,MX,Dallas,中转,125 ms,398 Mbps,50995 kB/s,50995.0
129.146.46.164,443.0,129.146.46.164,US,Los Angeles,中转,31 ms,388 Mbps,49766 kB/s,49766.0
3.144.191.4,443.0,3.144.191.4,US,Columbus,中转,60 ms,277 Mbps,35532 kB/s,35532.0
18.216.55.100,443.0,18.216.55.100,US,Ashburn,中转,61 ms,266 Mbps,34099 kB/s,34099.0
35.202.158.120,443.0,35.202.158.120,US,Chicago,中转,61 ms,247 Mbps,31641 kB/s,31641.0
3.112.21.102,443.0,3.112.21.102,JP,Tokyo,中转,185 ms,191 Mbps,24473 kB/s,24473.0
